Op_Bal,Cl_Bal,Highest,Lowest,Volume
418.26,418.59,418.75,417.65,210
417.99,418.54,418.54,417.51,160
419.7,419.7,419.7,419.66,250
421.3,420.81,421.4,420.81,210
420.7,420,420.7,419.81,1060
422,422.39,422.39,421.8,1210
419.45,419.8,419.9,418.89,850
426.63,426.63,426.63,426.63,0
424.99,425,425,424.99,210
420.3,420.3,420.3,420.3,10
421.5,421.5,421.5,421.5,20
423,423,423,423,0
423,423,423,423,200
427.5,427.41,427.5,427.41,10
427,427,427,427,0
424.65,424.65,424.65,424.65,0
425,425,425,425,150
425.27,425.27,425.27,425.27,10
423.98,423.98,423.98,423.98,0
424.9,424.91,424.91,424.9,10
423,423,423,423,850
423.5,423.5,423.5,423.5,440
424.8,425,425,424.8,180
421.9,421.9,421.9,421.9,0
419,418.8,419,418.55,710
418.11,418.11,418.11,418.1,250
416.12,416,416.12,416,30
417,415.82,417,415.82,100
416.5,416,416.5,416,320
416.4,416.02,416.4,416.02,130
414.34,414.96,415.01,414.34,100
